RESNT,RESNE,RESSE,RESST,RESMW,INDNT,INDNE,INDSE,INDST,INDMW,COMNT,COMNE,COMSE,COMST,COMMW,OTHNT,OTHNE,OTHSE,OTHST,OTHMW
487028,1659728,4871630,1443291,688573,1075714,2413117,8406675,2484250,541330,286058,860800,3346021,1045106,471662,297215.49,950395,2200796,1009616,486855
479188,1616156,4594567,1349500,669588,1117008,2498868,8324792,2540499,544008,285313,871460,3122012,929995,449067,293931,973148,2198821,910907,528150
497484,1601998,4520711,1388083,667520,1102059,2475946,8546983,2499092,555482,294885,842657,2950238,895372,436909,303816,985119,2194772,870072,540261
490071,1541855,4385968,1394531,635114,1123716,2529928,8520574,2556817,572328,287235,802952,2820500,893902,419079,294766,969547,2209435,861690,539341
492103,1512802,4674267,1455445,677680,1147489,2501509,8694721,2537355,575311,293976,809353,3001909,915299,430695,294970.23,1009529,2285735,847400,555846
529944,1550927,4715169,1402641,705315,1131039,2489714,8725859,2491263,567371,310910,823253,3116562,939703,467416,308018.51,1032400,2422644,877955.5,574167
541500,1608710,4722642,1357167,721029,1153543,2574711,8657739,2494709,553389,316766,868076,3132785,914797,480282,313888.53,1071747,2304932,861633.46,538879
525898,1696902,4672324,1360716,706899,1123001,2458766,8702507,2497801,534564,308172,910543,3179251,960696,474647,304985.57,1070225,2155425,939342.69,495316
509429,1725786,4941867,1415916,708846,1139047,2383534,8611134,2506253,528846,304723,958912,3524145,1033456,484237,307346.71,1097533,2229113,1073605.69,472710
496172,1751761,5255305,1602622,704339,1143714,2299052,8236130,2263560,524730,287442,900535,3487149,1111866,463075,288427.26,1037252,2269110,1307085,444418
452353,1597702,5083728,1598947,672452,1072677,2100852,8295036,2468655,549480,269817,863871,3573759,1149499,474008,268434.66,940214,2265746,1287306,460380
477637,1713392,5128653,1490633,697532,1198426,2436151,8345401,2600288,608079,281341,915968,3553530,1130888,491601,278524.05,961325,2363265,1214137,463919
471596,1681904,4937010,1433329,712847,1170586,2406830,8606025,2555782,595285,287353,906484,3512605,1079477,511819,289128.05,971336,2313391,1114645,490886
487643,1662459,4856402,1426433,704884,1189244,2400047,8421831,2613650,629808,296332,871547,3310453,1036168,487547,289675.39,965257,2320294,1071733,524580
520799,1605866,4678006,1403302,659843,1177387,2373296,8614877,2597122,624375,317205,853586,3113468,975806,458609,308212.72,976295,2331183,1034941,535395
513870,1639149,4784552,1516995,673879,1216444,2474532,8522025,2574899,647774,312853,843446,3078427,960757,458793,308348.62,979495,2346624,1029160,535270
541456,1636046,4840012,1494340,689462,1226399,2548648,8763759,2651379,662981,325461,874836,3194445,998381,486099,313526.84,1033468,2450927,1033476,570711
567602,1668339,5036380,1494136,757502,1187593,2456364,8795554,2595756,696133,338933,886611,3355404,1013575,518579,325319.34,1081712,2566285,1030398,593014
567178,1704764,4905359,1420907,766759,1249837,2479536,8608766,2634417,698062,336425,918578,3359320,1020582,521573,322679.38,1113321,2511683,1042808,561216
548988,1723018,4885526,1404883,740908,1182417,2398891,8698497,2522348,682107,327343,933587,3402946,1036634,507183,310405.77,1082284,2391735,1081881,506808
548931,1778139,4957747,1453631,744657,1211039,2365679,8472685,2544109,688542,336838,993314,3524609,1126012,517171,319123.78,1107066,2342759,1220449,489448
